cohort,panel,normalization,first,second,scope,horizon,eligible_cells,total_cells,coverage,mean_abs_difference,rmse,median_abs_difference,mean_abs_first,mean_abs_second,median_mc_sd_first,median_mc_sd_second,median_paired_se,median_change_over_se,fraction_change_over_2se,spearman,sign_agreement
historical80,derivative,normalized_effect,1.0,0.25,valid_gap_ge_0.1,all,22752,30336,0.75,0.06667088270024227,0.08726816771102092,0.053610931771496936,0.05741918336252498,0.08530841079321648,0.03498526474983321,0.11100465813446292,0.06543930819266083,0.8153537853476818,0.1812148382559775,0.57260735740653,0.7151019690576652
historical80,derivative,normalized_effect,1.0,0.25,valid_gap_ge_0.1,1,3792,5056,0.75,0.07224580598408678,0.09410225630343541,0.05773628138316172,0.055194830090649225,0.08757225284269933,0.03868177548156505,0.1215711055309297,0.0711258114143839,0.8089201782850792,0.1785337552742616,0.4992794889611853,0.681698312236287
historical80,derivative,requested_normalized_effect,1.0,0.5,valid_positive_gap,all,26070,30336,0.859375,0.023890074634990568,0.03327912239876243,0.017820579931139967,0.03418804595526962,0.03868810307569201,0.02089429941788435,0.03507575178998765,0.021463507025895445,0.8357964144149451,0.18258534714230917,0.7497474961114887,0.7978902953586497
historical80,derivative,requested_normalized_effect,1.0,0.5,valid_positive_gap,1,4345,5056,0.859375,0.026204301406602036,0.03619790225459357,0.020065089687705037,0.032827863322625,0.03847273893515488,0.02288245185578925,0.03893316157970306,0.023622362789236257,0.8464827370267766,0.17882623705408515,0.6851002446108585,0.7714614499424626
historical80,derivative,requested_normalized_effect,1.0,0.5,valid_gap_ge_0.1,all,26070,30336,0.859375,0.023890074634990568,0.03327912239876243,0.017820579931139967,0.03418804595526962,0.03868810307569201,0.02089429941788435,0.03507575178998765,0.021463507025895445,0.8357964144149451,0.18258534714230917,0.7497474961114887,0.7978902953586497
historical80,derivative,requested_normalized_effect,1.0,0.5,valid_gap_ge_0.1,1,4345,5056,0.859375,0.026204301406602036,0.03619790225459357,0.020065089687705037,0.032827863322625,0.03847273893515488,0.02288245185578925,0.03893316157970306,0.023622362789236257,0.8464827370267766,0.17882623705408515,0.6851002446108585,0.7714614499424626
historical80,derivative,requested_normalized_effect,0.5,0.25,valid_positive_gap,all,25596,30336,0.84375,0.044038842533929076,0.05904150112258391,0.03376354277133937,0.03882923621099952,0.051386720470389814,0.03536542243811065,0.0662693695389452,0.04174456772753621,0.8217683130217373,0.18389592123769338,0.49771474559423634,0.690225035161744
historical80,derivative,requested_normalized_effect,0.5,0.25,valid_positive_gap,1,4266,5056,0.84375,0.04737178719581308,0.06333374007441755,0.03667784140755731,0.03871442745318381,0.052884492936439306,0.03940840878828047,0.07197217388522517,0.045843357631144555,0.8008648014097354,0.1802625410220347,0.4326143888884231,0.6694796061884669
historical80,derivative,requested_normalized_effect,0.5,0.25,valid_gap_ge_0.1,all,22752,30336,0.75,0.042164289285638354,0.0562031232846225,0.032670253266890825,0.037640678646040426,0.049701386517532246,0.03385100973017092,0.06359533153434326,0.0402828472664683,0.8244139793871035,0.1849507735583685,0.5041865235167133,0.6907085091420534
historical80,derivative,requested_normalized_effect,0.5,0.25,valid_gap_ge_0.1,1,3792,5056,0.75,0.045216652028489915,0.060035322259331926,0.035187492147088044,0.037534140735828204,0.051086698239282795,0.03744095103764719,0.06946715414762969,0.04449902201056734,0.8024269245060441,0.18011603375527427,0.4388223982029282,0.6706223628691983
historical80,derivative,requested_normalized_effect,1.0,0.25,valid_positive_gap,all,25596,30336,0.84375,0.04083811723907446,0.05427356329060146,0.03159656619633697,0.0342257148059586,0.051386720470389814,0.02118526857419551,0.0662693695389452,0.03907767637931389,0.8186346573222048,0.18151273636505705,0.5625297533683754,0.7117127676199406
historical80,derivative,requested_normalized_effect,1.0,0.25,valid_positive_gap,1,4266,5056,0.84375,0.0441633245355975,0.05850207340015841,0.0343062480096705,0.032958608778462725,0.052884492936439306,0.02322249697214263,0.07197217388522517,0.042250959869048074,0.8198044496355721,0.18166901078293482,0.4933847172906773,0.6795593061415847
historical80,derivative,requested_normalized_effect,1.0,0.25,valid_gap_ge_0.1,all,22752,30336,0.75,0.03879329274651222,0.0514967481444563,0.030229933390122216,0.03324162759910066,0.049701386517532246,0.0199013968768897,0.06359533153434326,0.03742595720709241,0.8153621790034572,0.18499472573839662,0.5723388011681853,0.7151019690576652
historical80,derivative,requested_normalized_effect,1.0,0.25,valid_gap_ge_0.1,1,3792,5056,0.75,0.042040362943460044,0.055472244452535666,0.0328965048926572,0.032010537380231366,0.051086698239282795,0.021851470835521587,0.06946715414762969,0.04062348705431782,0.8171675881756295,0.1864451476793249,0.5003683138891388,0.681698312236287
